date,opponent,utd_score,opponent_score,confidence,notes,source_title
2/24/2018,Texas St.,33,31,high,,Recap ﻿of 1st day of Lonestar Playoffs
2/24/2018,Texas St.,40,33,high,,Recap ﻿of 1st day of Lonestar Playoffs
2/24/2018,Unknown,0,57,medium,Score from narrative (opponent unknown),Recap ﻿of 1st day of Lonestar Playoffs
2/24/2018,Unknown,17,17,medium,Half-time score (tied),Recap ﻿of 1st day of Lonestar Playoffs
1/28/2018,ACU,55,0,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/21/2018,UNT,3,64,high,,Recap of UNT friendly and upcoming Abilene Christian match
12/3/2017,SFA,96,0,high,,Recap of SFA match
11/12/2017,Quins U23,5,12,high,,Recap of Dallas Harlequins U23 Friendly and upcoming Rice match
10/22/2017,Trinity,53,5,high,,UTD Men continue road down unbeaten street against Trinity U
10/8/2017,Letourneau 1,56,2,high,,Results of UT Dallas Women and Men's matches this weekend
10/8/2017,Letourneau,56,12,high,,Results of UT Dallas Women and Men's matches this weekend
3/4/2017,SHSU,3,7,high,,Day 1 of LSC Playoffs at Tarleton St.
2/19/2017,Rice,15,0,high,,Final league match vs Rice Univ. recap
2/19/2017,Rice 1,27,0,high,,Final league match vs Rice Univ. recap
2/19/2017,Rice,27,10,high,,Final league match vs Rice Univ. recap
2/5/2017,Unknown,17,17,medium,Half-time score (tied),Recap of St. Edward's Match
1/29/2017,LTU 1,26,7,high,,Recap of UT Dallas Men (at Letourneau) and Women's Tournament Weekend
1/29/2017,LTU,26,17,high,,Recap of UT Dallas Men (at Letourneau) and Women's Tournament Weekend
1/22/2017,roughly UD,0,18,high,,1st Match of 2017 versus Univ. of Dallas & preview of next week. USA Rugby names 2017 Academic All Americans
11/20/2016,and Tarleton,7,28,high,,Final games for Men and Women for 2016
11/1/2016,SHSU,5,7,high,,Home games for UT Dallas Men and Women
11/1/2016,SHSU 2,17,6,high,,Home games for UT Dallas Men and Women
11/1/2016,SFA 1,60,4,high,,Home games for UT Dallas Men and Women
11/1/2016,SHSU,17,26,high,,Home games for UT Dallas Men and Women
11/1/2016,SFA,60,14,high,,Home games for UT Dallas Men and Women
10/23/2016,be ASU,0,26,high,,ASU route UTD Men and Women
10/23/2016,ASU,0,24,high,,ASU route UTD Men and Women
10/23/2016,score ASU,5,76,high,,ASU route UTD Men and Women
10/18/2016,UTSA,5,5,high,,Last week both guys and girls in action
10/18/2016,UTSA,10,5,high,,Last week both guys and girls in action
10/2/2016,with UNT,10,36,high,,UT Dallas Women's match write up
9/25/2016,ETBU 2,22,2,high,,Women's week 1 results and write up
9/25/2016,ETBU,22,22,high,,Women's week 1 results and write up
2/29/2016,score ASU,5,45,high,,Lonestar Conference Playoffs recap & Ladies tournament results
2/21/2016,score SEU,7,50,high,,Recap of St. Edward's match and review of upcoming playoffs
2/7/2016,score LTU,19,24,high,,Recap of Letourneau match
1/31/2016,SMU,8,7,high,,Recap of SMU match
1/31/2016,score SMU,3,7,high,,Recap of SMU match
