date,player_name,tries_scored,confidence,notes,source_title
1/28/2018,Jackson,3,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/28/2018,Steven L.,2,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/28/2018,Lewis,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/28/2018,Eric,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/28/2018,Aly,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/28/2018,Edmund,1,medium,Extracted from list,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
1/21/2018,Daniel,1,medium,Narrative mention (reserve/substitute),Recap of UNT friendly and upcoming Abilene Christian match
10/22/2017,Joey,2,high,,UTD Men continue road down unbeaten street against Trinity U
10/22/2017,Caleb,3,high,,UTD Men continue road down unbeaten street against Trinity U
10/1/2017,Calvin,2,high,,UT Dallas Men start the 2017 on a good note
10/1/2017,Octavio,3,high,,UT Dallas Men start the 2017 on a good note
10/1/2017,Andrew W.,1,high,,UT Dallas Men start the 2017 on a good note
10/1/2017,Andrew M.,1,high,,UT Dallas Men start the 2017 on a good note
11/20/2016,Kayla,1,high,,Final games for Men and Women for 2016
10/19/2014,Marie,1,high,,Recap of Texas St. Women's and UD matches
3/3/2014,Cameron,1,high,,Recap of the Lonestar Championship Weekend
3/3/2014,Ahmad,1,high,,Recap of the Lonestar Championship Weekend
2/16/2014,Justin,2,high,,MSU Men and Women's Recap
2/16/2014,Cameron,2,high,,MSU Men and Women's Recap
2/16/2014,Alejandro,1,high,,MSU Men and Women's Recap
2/16/2014,Lauren,1,high,,MSU Men and Women's Recap
2/16/2014,Judit,1,high,,MSU Men and Women's Recap
2/16/2014,Stephanie,2,high,,MSU Men and Women's Recap
1/26/2014,Stephanie,3,high,,Recap of LeTourneau and TCU matches
1/26/2014,Marie,2,high,,Recap of LeTourneau and TCU matches
1/26/2014,Stephanie,1,high,,Recap of LeTourneau and TCU matches
1/26/2014,Marie,1,high,,Recap of LeTourneau and TCU matches
10/6/2013,Marie,2,high,,Recap on UT Dallas Women vs Rice
9/24/2013,Andrew,1,high,,Recap of St. Edward’s Round Robin Tournament
9/24/2013,Alejandro,1,high,,Recap of St. Edward’s Round Robin Tournament
9/24/2013,Michael,1,high,,Recap of St. Edward’s Round Robin Tournament
9/24/2013,Zebra,1,high,,Recap of St. Edward’s Round Robin Tournament
2/6/2012,Dutton,1,medium,Narrative mention,Update on the final weekend in Division III
