season,player,points,player_id
2021-2022,"Geibler, Robert",22,285116
2021-2022,"Even, Tristen",20,215800
2021-2022,"Khromachou, Jibran",13,280826
2021-2022,"Haby, Haydn",5,280825
2021-2022,"Maguire, Grafton",5,222159
2019-2020,"Levens, Hunter",60,264548
2019-2020,"Delira, John",49,255057
2019-2020,"El Sharkawy, Aly",20,201125
2019-2020,"Walsh, John",20,216953
2019-2020,"Even, Tristen",10,215800
2018-2019,"Hopkins, Lewis",40,215799
2018-2019,"Bellew, Eric",33,140845
2018-2019,"Miller, Edmund",20,140195
2018-2019,"El Sharkawy, Aly",10,201125
2018-2019,"Saenz, Michael",10,221737
2017-2018,"Hopkins, Lewis",128,215799
2017-2018,"Miller, Edmund",54,140195
2017-2018,"Whiteis, Andrew",52,118452
2017-2018,"Bellew, Eric",25,140845
2017-2018,"Eljuri, Wadih",25,116560
2016-2017,"Eljuri, Wadih",25,116560
2016-2017,"Means, Coleman",15,192446
2016-2017,"Miller, Edmund",15,140195
2016-2017,"Clift, Kevin",12,191795
2016-2017,"Larsen, Steven",10,172756
2015-2016,"FEUILLAT, Victor",15,144985
2015-2016,"Martinez, Brian",12,118121
2015-2016,"DiCarlo, Nicholas",10,118206
2015-2016,"Eljuri, Wadih",10,116560
2015-2016,"Miller, Edmund",10,140195
2014-2015,"Martinez, Brian",22,118121
2014-2015,"Shamoun, Michael",20,117999
2014-2015,"Whiteis, Andrew",17,118452
2014-2015,"Holmes, Jonathan",15,119143
2014-2015,"Do, Andrew",10,118205
