season,player,tries,player_id
2021-2022,"Even, Tristen",4,215800
2021-2022,"Geibler, Robert",3,285116
2021-2022,"Haby, Haydn",1,280825
2021-2022,"Khromachou, Jibran",1,280826
2021-2022,"Maguire, Grafton",1,222159
2019-2020,"Levens, Hunter",12,264548
2019-2020,"El Sharkawy, Aly",4,201125
2019-2020,"Walsh, John",4,216953
2019-2020,"Delira, John",3,255057
2019-2020,"Even, Tristen",2,215800
2018-2019,"Bellew, Eric",5,140845
2018-2019,"Miller, Edmund",4,140195
2018-2019,"Hopkins, Lewis",3,215799
2018-2019,"El Sharkawy, Aly",2,201125
2018-2019,"Saenz, Michael",2,221737
2017-2018,"Miller, Edmund",10,140195
2017-2018,"Whiteis, Andrew",10,118452
2017-2018,"Bellew, Eric",5,140845
2017-2018,"Eljuri, Wadih",5,116560
2017-2018,"Larsen, Steven",5,172756
2016-2017,"Eljuri, Wadih",5,116560
2016-2017,"Means, Coleman",3,192446
2016-2017,"Clift, Kevin",2,191795
2016-2017,"Larsen, Steven",2,172756
2016-2017,"Shamoun, Michael",2,117999
2015-2016,"FEUILLAT, Victor",3,144985
2015-2016,"DiCarlo, Nicholas",2,118206
2015-2016,"Eljuri, Wadih",2,116560
2015-2016,"Miller, Edmund",2,140195
2015-2016,"Pesnell, Jacob",2,119337
2014-2015,"Shamoun, Michael",4,117999
2014-2015,"Holmes, Jonathan",3,119143
2014-2015,"Whiteis, Andrew",3,118452
2014-2015,"Do, Andrew",2,118205
2014-2015,"Richied, Zachary",2,118199
